ID,Eesti keel,Inglise keel,Saksa keel,Vene keel,Soome keel,Seletus,,Kirjeldus
2439,puhaspaksus,finished thickness,endgültige Dicke f,чистая толщина ж,loppupaksuus,Paksusmõõde pärast hööveldamist,,
2440,puhastoorik,"rough workpiece, rough part",Reinrohling m,заготовка чистовая,?,"Detaili täpset gabariitkuju ja mõõtmeid omav toorik, millel puuduvad detaili pisivormid",,
2441,puhastreimine,"smoothing turning, finish turning",Fertigdrehen n,точение чистовое,silityssorvaus,Treimine sileda pinna saavutamiseks sirge teraga peitliga,,
2442,puhastöötlussaag,"plane saw, novelty saw",Feinkreissäge f,дисковая пила для чистовой распиловки,höyläsaha,Ketasaag eriti sileda lõikepinna saavutamiseks,,
2443,puhvetikapp,"plate cupboard, cupboard, chest-on-chest, china cabinet, wine cabinet",Büfett n., Geschirrschrank m,"буфет, шкаф для посуды",astiakaappi,Peamiselt lauanõude hoidmiseks kohandaud kapp,
2444,puidu autohüdrolüüs,autohydrolysis of wood,Holzautohydrolyse f,автогидролиз м древесины,puun autohydrolyysi,"Puidu hüdrolüüs, mida katalüüsivad puidust tekkivad happed",,
2445,puidu ehitus,wood anatomy,"Holzanatomie f, Anatomie f des Holzes",строение древесины с,"puun rakenne, puun anatomia","Puidu struktuur, käsitletuna mikro- ja makrotasandil",,
2446,puidu hüdrolüüs,hydrolysis of wood,Holzhydrolyse f,гидролиз м древесины,puun hydrolyysi,Puidu keemiliste komponentide lagundamine vee toimel,,
2447,puidu keemiline töötlus,wood chemical treatment,chemische Holzbehandlung f,химическая обработка ж древесины,puun kemiallinen käsittely,Puidu mõjutamine kemikaalidega vajalike omadustega toodete saamiseks,,
2448,puidu käitlemine,wood handling,Holzhandlung f,обращение ср древесиной,,"Puidu transportimine, laadimine, ladustamine jm põhitegevust ettevalmistavad toimingud",,
2449,puidu mahu määramine,scaling,Holzvolumenmessung f,определение ср объёма древесины,kuutiointi,Puidukoguse määramine puidu mõõtmete järgi,,
2450,puidu makrostruktuur,macrostructure of wood,Makrogestalt f des Holzes,макроструктура древесины,puuaineksen makrorakenne,Palja silmaga eristatav puidu ehitus,,
2451,puidu mikrostruktuur,microstructure of wood,Mikrogestalt f des Holzes,микроструктура древесины,puuaineksen mikrorakenne,Puidu rakuline ehitus,,
2452,puidu pürolüüs,wood pyrolysis,Holzpyrolyse f,пиролиз древесиным,puun pyrolyysi,Puidu termiline lagundamine,,
2453,"puidu pürolüüs, puidu utmine",wood distillation,Holzpyrolyse f,пиролиз м древесины,"pyrolyysi, kuivatislaus",Puidu kuumutamine õhu juurdepääsuta,,
2454,puidu söestumus,carbonized wood,Holzverkohlung f,обугленность древесины ж,hiiltynyt puu,Puidu pinna osaline söestumine,,
2455,puidu tumenemine kamberkuivatusel,kiln brown stains,"Holzverdunkelung f, Holzverfärbung f",потемнение ср древесины при камерной сушке,puun tummeneminen,Puidu värvusmuudatus termokeemiliste reaktsioonide tulemusena,,
2456,puidu väljatulek  ,timber output ,Holzausbeute f,выxoд  дpeвecины ,,Lähtematerjalist tootesse ülemineva puidu osamäär,,
2457,puidujahu,wood flour,Holzmehl n,древесная мука ж,puujauho,Puidulaaste või saepuru kuivalt jahvatades saadud peen puitmaterjal,,
2458,puidujäätmed,"wood waste, chore","Holzreste m pl, Holzabfälle m f",древесные отходы мн,jätepuu,Puidu töötlemisel tekkiv sihtotstarbeliseks kasutamiseks kõlbmatu jääk,,
2459,puidukaubad,wood articles,Holzwaren f n,"лесопродукция ж, изделия ср мн из древесины","puutuotteet, puutavara",Ostu-müügi objektiks olevad puitmaterjalid ja puidutooted,,
2460,puidukeemia,wood chemistry,Holzhemie f,химия ж древесины,puukemia,"Keemia haru mis käsitleb puidu keemilisi omadusi ja  koostist, keemilist ja termilist töötlemist ja töötlussaadusi",,
2461,puidukruvi,woodscrew,Holzschraube f,шуруп,puuruuvi,"Puidu sisse keeratav kinnituskruvi, koosneb koonilise lõikeosaga keermestatud varvast ja peast",,
2462,puiduladu,woodyard,"Holzlagerplatz m, Holzbörse f","склад м древесины, лесобиржа ж","lautatarha, puuvarasto",Plats puittoorme hoidmiseks,,
2463,puiduliik,wood species,Holzart f,порода ж древесины,,,,
2464,puidunaaskel,bradawl,"Spitzbohrer m, Vorstecher m, Reißnadel f",шило,naskali,Vahend tsentriaukude süvitamiseks,,
2465,puiduparenhüüm,parenchyma,Holzparenhym n,древесная паренхима ж,,Peamiselt säilitusfunktsiooni täitvad õhukeseseinalised tüve telje suunas väljavenitatud rakud,,
2466,puidupeits,"spirit stain, stain",Holzbeize f,морилка ж,petsi,"Värvaine või anorgaanilise aine lahus, mis puidu pinnale kantuna ilmestab selle tekstuuri",,
2467,puidupingitööline,woodworking operator,Holzbearbeitungs-maschinenoperator,станочник м дерево-обрабатывающих станков,,Puidutöötluspingil töötamiseks pädev töötaja,,
2468,puidurakk,wood cell,Holzzelle f,клетка древесины,puusolu,"Puidu mikroskoopilise ehituse põhielement, mis täidab selle puidukoe rolli, mille koostisesse ta kuulub",,
2469,puidurike,"wood degrade, wood drawback",Holzfehler m pl,порок древесины м,puutavaran viat,"Puitmterjali kõrvalekalle, mis halvendab puidu kvaliteeti ja piirab selle kasutusvõimalusi",,
2470,puidusöe aktiveerimine,charcoal activation,Holzkohlenaktivierung f,активирование ср древесного угля,puuhiilen aktivaatio,Puidusöe töötlemine veeauruga poorsuse suurendamiseks,,
2471,puidusüsi,charcoal,Holzkohle f,древесный уголь м,puuhiili,"Suure süsinikusisaldusega poorne aine, mis tekib puidu kuumutamisel õhu juurdepääsuta (utmine) või vähese juurdepääsu korral",,
2472,puiduteadus,wood science,Holzwissenschaft f,древесиноведение с,"puun raaka-aineoppi, puutiede","teadusharu, mis uurib puitu bioloogiliste, keemiliste, füüsikaliste ja mehaaniliste meetoditega",,
2473,puidutolm,wood dust,Holzstaub m,древесная пыль ж,puupöly,Väga väikesed puiduosakesed,,
2474,puidutõrv,wood tar,Holzkohlenteer m,деготь м древесный,puuterva,Puidu utmisel tekkiv tumepruun kuni must viskoosne orgaaniline vedelik,,
2475,puidutõuk,woodworm,Holzlarve f,,,Puitu kahjustav ussitaoline putuka vastne,,
2476,puidutööstus,wood industry,Holzindustrie f,деревообрабатывающая промышленность ж,puuteollisuus,Puidu mehaanilise ning keemilise töötlemisega tegelev tööstusharu,,
2477,puidutöötleja.,woodworker,Holzbearbeiter m,деревообработчик м,puutyöläinen,Puidutöötlemistööstuse tööline,,
2478,puidutöötlemine,"woodworking, wood processing","Holzbearbeitung f, Holzverarbeitung f",обработка древесины ж,"puuteollisuus, puuntyöstö, puunjalostus",puidu mehaaniline ja keemiline töötlemine,,
2479,puidutöötlemisjäätmed,mill debris,"Holzbearbeitungsreste m pl, Holzbearbeitungsabfälle m pl",отходы мн деревообработки,puuteollisuuden jätteet,Puidu töötlemisel tekkiv sihipäraseks kasutuseks kõlbmatu jääk,,
2480,puidutöötlemistehnoloogia,"woodworking technology, timber engineering","Holzbearbeitungstechnologie f, Holzbearbeitungstechnik f",технология деревообработки ж,puutekniikkaa,Talitlusviis (menetlus) puitmaterjali tooteks või detailideks töötlemisel,,
2481,puidutöötlemistööline,benchman,Holzbearbeiter m,работник деревообрабатывающего предприятия м,puutyöläinen,Puidutööstuses töötav tööline,,
2482,"puidutöötlemistööstus, puidutööstus",woodworking industry,Holzbearbeitungsindustrie f,деревообрабатывающая промышленность ж,puuteollisuus,Puidu mehaanilise ning keemilise töötlemisega tegelev tööstusharu,,
2483,puiduviimistlus,wood finish,"Holzvervollkommnung f,Holzfinish n",отделка древесины ж,puun pintakäsittely,"tehnoloogiline protsess, mille eesmärgiks on puittoodete pinna vääristamine ja kaitsmine välismõjude eest",,
2484,puiduõli,timber oil ,Holzöl n,дpeвecнoe мacлo ,,Puidu viimistlemiseks kasutatav õli,,
2485,puistetihedus,bulk density,Schüttdichte f,насыпная плотность ж,irtotiheys,"Väikestest tahketest osakestest aine tihedus, mis on tekkinud aineosakeste vabal langemisel",,
2486,puistkuupmeeter,bulk cubic meter,Schüttkubatur f,кубометр м насыпной,irtokuutiometri,Ühe m3 puistmaterjali (hakkepuidu) kogus,,
2487,puit,"wood, timber",Holz n,древесина,puutavara,"Peamiselt puitunud rakkudest koosnev puittaimede varre, okste ja juurte põhiosa",,
2488,puitaine tihedus,density of wood substance,Holzstoffdichte f,плотность древесного вещества,puuaineksen tiheys,"Materjali, millest koosnevad puidurakkude seinad, mahumass.",,
2489,puitkiil,wood(en) wedge,Holzkeil m,деревянный клин,kiila,Puidust kahe kaldpinnalise töötahuga tööriist reguleerimis- ja pingutustöödeks,,
2490,puitkiudplaat,fibreboard,Holzfaserplatte f,древесноволокнистая плита ж,kuitulevy,"Plaatmaterjal nimipaksusega 1,5 mm või rohkem, mis on valmistatud lignotselluloossetest kiududest kasutades kuumutamist ja7või survet (pressimist)",,
2491,puitlaastplaat,"particleboard, chipboard, (US) flake board","Holzspanplatte f, Spanplatte f",древесностружечная плита ж,lastulevy,"Plaatmaterjal, mis on valmistatud puiduosakestest (helbed, laastud, saepuru  jms) kuumpressimise teel kasutades adhesiivi",,
2492,puitlaekate,wood ceiling ,Holzdeckenverkleidung f,деревянная подшивка ж потолка,laipionpuupäällys,Ruumi lakke kinnitatud puidust kate,,
2493,puitmass,mechanical pulp,Holzstoff m,древесная масса ж,mekaaninen massa,Mehaanilise töötlusega puidust saadav kiumass,,
2494,puitmassivaba paber,woodfree paper,holzfreies Papier n,целлюлозная бумага ж,puuvapaa paperi,Tselluloosist valmistatud puitmassi lisandita paber,,
2495,puitmasspaber,mechanical paper,holzhaltiges papier n,древесномассная бумага ж,puupitoinen paperi,Puitmassi sisaldav paber,,
2496,puitmööbel,wooden furniture,Holzmöbel n,мебель из древесины и древесных материалов,puiset huonekalut,"mööbel, mille konstruktsioonis on ülekaalus puitelemendid",,
2497,"puitnael, -naagel",wooden peg,Holznagel m,"нагель, деревянный гвоздь","tappi, puunaula",Puitkonstruktsioonide ühendamiseks kasutatav silindrilise vm kujuga puitvarras,,
2498,puitpellet,wood pellet,Holzpellet m,древесный гранул м,,Kõrgendatud temperatuuril väikestest puiduosakestest kokkupressitud silindrikujuline kütteks kasutatav graanul,,
2499,puitplaatide kalibreerimine,calibrating wood based panels,Kalibrieren n von Holzverkstoffen,калибрирование древесных плит,levyjen kalibrointi,Puitplaatide töötlemine mõlemalt küljelt lihvimise teel neile ühtlase paksuse kindlustamiseks,,
2500,puitpõrand,timber floor,Holzfußboden m,деревянный пол м,puulattia,Laudadest vm puitmaterjalist põrandakattega põrand,,
2501,puitribi,core batten,Tischlerplattenrippe f,рейка ж внутреннего слоя столярной плиты,"rima, säle",Tisleriplaadi sisekihi puitelement,,
2502,puitseinakate,wood panelling,Holzwandverkleidung f,деревянная обшивка ж стены,seinänpuupäällys,Siseseina puidust kate,,
2503,puittarind,timber structure,Holzkonstruktion f,конструкция ж деревянная,puurakennelma,Puidust kokkupandud ehituskonstruktsioon,,
2504,puittooted,woodwork,Holzarbeit f,изделия из древесины,puutuotteet,Puidust ja/või puitmaterjalidest valmistatud tooted,,
2505,"puitumine, lignifikatsioon",lignification,Verholzung f,одревеснение ср,puutuminen,Ligniini kogunemine taimede rakukesta,,
2506,puitvasar,mallet,"Holzhammer m, Klopfholz n",киянка,puuvasara,Löökide andmiseks kasutatav puidust tööriist,,
2507,puitvill,wood wool,Holzwolle f,древесная стружка,lastuvilla,Polstri põhikihi  täidismaterjalina kasutatav õhuke lintjas haava- või okaspuulaast,,
2508,pukspuu - harilik,"European Boxwood, Common Boxwood, Box",?,крушина ольховидная,isopuksipuu,Lõuna-Euroopas ja Lääne-Aasias kasvav lehtpuu (Buxus sempervirens),,
2509,pulberliim,powder glue,"Pulverklebstoff m, Pulverleim m",порошковый клей м,pulveriliima,"praktiliselt lahustivaba liim, mis viiakse liimühenduse saamiseks sulavedelasse olekusse",,
2510,"pulberliimimine, kuivliimimine",powder bonding,Trockenbeleimung f,склеивание ср сухим  клеем,kuiva liimata,Liimimine pulbrilise sulavliimiga,,
2511,pulberpinnakate,powder coating,Pulverdecklage f,порошковый отделочный материал м,jauhepinnoite,"praktiliselt lahustivaba pinnakattematerjal, mis viiakse pinnakatte tekitamiseks sulavedelasse olekusse",,
2512,pulktiibadega hing,cylinder hinge,"Einbohrband n, Zylinderband n",петля стержневая,sylinterisarana,Kahest silindrilisest varvast šarniirselt ühendatud mööblihing,,
2513,punaleelis,red liquor,Rotlauge f,красный щелок м,punalipeä,Punaka värvusega tselluloosi vesiniksulfitkeedu jääkleelis,,
2514,punane puu,redwood,Rotholz n,красное дерево,trooppisten puulajien puuaines,"Üldnimetus troopilistele puiduliikidele, millede lülipuit on punane või punakas, kasutatakse ka männi korral",,
2515,punasüdamik,red heart,"Rotkern m, Spritzkern",красное ядро с,sydänpuu ruskolaho,"Punane või pruun värvusrike, mis esineb teravalt piiritletuna tüve ristlõike keskosas",,
2516,pundumine,swelling,"Quellung f, Schwellen n",набухание ср,"paisuminen, turpoaminen",Puidu mõõtmete suurenemine hügroskoopse niiskuse  suurenemisel,,
2517,pundumistegur,swelling value,Quellmaß n,коэффициент м набухания,paisumisarvo,Pundumine kindlas anatoomilises suunas niiskussisalduse suurenemisel 1% võrra,,
2518,punker,"bin, silo, hopper",Bunker m,бункер м,siilo,Hrl kitseneva alaosaga mahuti peamiselt puistmaterjali lühiajaliseks säilitamiseks,,
